"ip","group","type","cpu","mem","disk","net_in","net_out"
"10.8.8.10","1","image","2.3","18.00","11.00","5.60","1.00"
"10.8.8.11","1","image","2.0","18.00","11.00","6.60","1.00"
"10.8.8.12","1","image","2.3","18.00","11.00","5.60","1.00"
"10.8.8.20","2","client","9.0","17.00","6.00","5.60","1.20"
"10.8.8.21","2","client","8.8","17.00","6.00","6.80","1.00"
"10.8.8.22","2","loadbalancer","5.7","22.00","6.00","5.80","0.80"
"10.8.8.23","2","database","6.2","43.00","4.00","5.80","2.80"
"10.8.8.24","2","image","6.6","36.00","10.00","5.60","0.80"
"10.8.8.25","2","image","6.6","36.00","10.00","6.60","0.80"
"10.8.8.26","2","image","6.7","36.00","10.00","5.60","0.80"
"10.8.8.27","2","image","6.7","36.00","11.00","5.60","0.80"
"10.8.8.2","1","database","9.2","42.00","4.00","5.00","2.20"
"10.8.8.30","2","web","3.0","38.00","6.00","5.20","1.60"
"10.8.8.31","2","web","3.9","47.00","6.00","6.80","1.40"
"10.8.8.3","1","client","5.7","70.00","6.00","7.20","1.20"
"10.8.8.4","1","loadbalancer","5.7","26.00","6.00","5.40","1.00"
"10.8.8.5","1","client","5.8","17.00","6.00","5.80","1.40"
"10.8.8.7","1","web","5.8","38.00","5.00","6.60","1.20"
"10.8.8.8","1","web","5.9","38.00","5.00","5.20","0.80"
"10.8.8.9","1","image","2.0","10.00","11.00","6.80","1.20"
